ds,yhat,yhat_lower,yhat_upper
2025-08-09,15573.8020866293,758.2322539291147,30039.783714155325
2025-08-10,24314.264541540546,9553.544777115363,38750.97769019126
2025-08-11,18852.479518787244,4424.497821445357,33448.93105544424
2025-08-12,18955.785174397522,2924.847979417008,33104.90744238724
2025-08-13,20917.57324745794,5399.138460910466,35673.218303860354
2025-08-14,23085.24481467772,7462.905395160303,38187.491256896465
2025-08-15,25118.81193973306,10864.637696389364,39808.33580025255
2025-08-16,20067.1794940147,5859.629483243859,35964.80403480444
2025-08-17,28657.109443668855,13948.266090511486,44460.93143224845
2025-08-18,22936.43514120531,7073.091819913603,37155.21541092601
2025-08-19,22676.72209051582,8426.51997812526,38091.17253431423
2025-08-20,24178.251124259492,9248.522892527784,38779.70901227028
2025-08-21,25797.844120654227,10589.018623790407,39988.07268766387
2025-08-22,27207.26826259161,11897.622905040085,42464.62093300579
2025-08-23,21469.257487898303,5857.16699232082,35216.565562012234
2025-08-24,29326.15954831912,13948.572138771853,44722.600195579995
2025-08-25,22842.783938188757,8150.9731410746945,37379.97692656167
2025-08-26,21808.656291652547,7115.354583094842,36318.65211784181
2025-08-27,22542.565486084302,7636.3630973680565,36849.79916564178
2025-08-28,23419.934776271788,8512.998127312101,38860.00335617356
2025-08-29,24130.76475939757,10255.938243192253,38538.3229240449
2025-08-30,17755.198898655577,2338.8023671627725,31584.19007468016
2025-08-31,25051.732054820604,9735.127776305924,38964.02381760015
2025-09-01,18099.648942793967,3974.76868449707,34999.37829972757
2025-09-02,16700.90906782329,2635.0509718507037,30722.34559662017
2025-09-03,17184.37433232835,2284.9447635389083,32308.2577688322
2025-09-04,17932.91930614067,3349.5290725390514,33224.18689163938
2025-09-05,18641.179101828973,4046.4554882541897,33915.75792350822
2025-09-06,12390.990988068324,-2990.769324682351,27190.188078305404
2025-09-07,19939.5537059626,4774.6899872009535,34142.493342647
2025-09-08,13361.892922318037,-2414.0055431626965,28293.64690660038
2025-09-09,12452.848842433303,-1701.9978591659494,27856.725715086977
2025-09-10,13531.47959782458,-1005.8541599113503,28704.14559912437
2025-09-11,14968.4158461205,-949.6143587111594,28980.626465743324
2025-09-12,16443.91510455969,1289.6155991865605,30442.300352911734
2025-09-13,11023.663839084036,-3663.3812917977302,26608.190736849494
2025-09-14,19447.341687974782,5201.773164114929,34003.23074722291
2025-09-15,13771.525454042956,-907.3422043915065,27535.26433039269
2025-09-16,13772.137170531381,-688.9956737822681,28039.150536784415
2025-09-17,15749.317541627712,1398.1160125699525,29877.85223504742
2025-09-18,18055.24762312106,2996.8514250666835,32596.15400008204
2025-09-19,20352.654785148163,4237.503805644048,35018.63270658594
2025-09-20,15691.03893629344,403.4691899929363,29941.14582924345
2025-09-21,24795.622117524264,9835.579051336055,38918.44365794475
2025-09-22,19710.588916696004,4859.427368220959,34798.26520348628
2025-09-23,20201.813195504517,5970.549348373357,34514.81708452706
2025-09-24,22561.94523330233,7166.439651070142,37317.782114048394
2025-09-25,25138.376775455683,11008.648937281594,40508.51333174471
